epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,12745.4,1.14139,0.76206,1.2207,0.91393,0.87589,0.95285,0.69521,1.04103,0.60624,1.11157,0.000561279,0.000561279,0.000561279
69,12800.3,1.09462,0.74639,1.17094,0.93882,0.88988,0.95682,0.68297,1.06909,0.63791,1.11784,0.000544776,0.000544776,0.000544776
70,12854.9,1.08879,0.74718,1.16913,0.94135,0.94841,0.96856,0.71826,1.02702,0.60139,1.08812,0.000528272,0.000528272,0.000528272
71,12909.8,1.1086,0.74559,1.16296,0.95183,0.92984,0.9507,0.68738,1.03559,0.58448,1.08896,0.000511769,0.000511769,0.000511769
72,12963.5,1.06947,0.74897,1.1634,0.94758,0.93224,0.96631,0.69838,1.07848,0.59857,1.10422,0.000495266,0.000495266,0.000495266
73,13017.9,1.10591,0.73776,1.17314,0.92492,0.98085,0.97711,0.70955,1.08048,0.5812,1.11584,0.000478762,0.000478762,0.000478762
74,13071.2,1.08726,0.7784,1.20081,0.94476,0.97068,0.97728,0.70965,1.03067,0.5603,1.08563,0.000462259,0.000462259,0.000462259
75,13125.7,1.06461,0.727,1.15087,0.90837,0.9246,0.97214,0.70597,1.01398,0.57515,1.07502,0.000445756,0.000445756,0.000445756
76,13180.8,1.10194,0.75471,1.18874,0.89754,0.94737,0.96776,0.70525,1.00459,0.59019,1.07836,0.000429253,0.000429253,0.000429253
77,13234.5,1.05916,0.70805,1.16552,0.9474,0.93254,0.96309,0.71146,0.99701,0.57043,1.07629,0.000412749,0.000412749,0.000412749
78,13289.5,1.09446,0.73128,1.1501,0.95536,0.91229,0.95975,0.6831,1.01718,0.56622,1.09175,0.000396246,0.000396246,0.000396246
79,13343,1.07486,0.71171,1.17941,0.92557,0.93401,0.96033,0.70586,0.98264,0.57402,1.07407,0.000379743,0.000379743,0.000379743
